Genus;Species;cluster
U29-B03;unknown species;Cluster_10356
Flavobacterium;unknown species;Cluster_10359
Lutispora;unknown species;Cluster_10366
Myroides;Multi-affiliation;Cluster_10367
Blvii28 wastewater-sludge group;unknown species;Cluster_10369
Desulfovibrio;bacterium S4531;Cluster_1037
Flavobacterium;unknown species;Cluster_10373
Acinetobacter;bacterium;Cluster_10379
unknown genus;unknown species;Cluster_10380
unknown genus;unknown species;Cluster_10381
Aeromonas;Multi-affiliation;Cluster_10382
Sterolibacterium;metagenome;Cluster_10387
unknown genus;Porphyromonadaceae bacterium MV12;Cluster_10393
Fibrobacter;unknown species;Cluster_10395
Magnetospirillum;unknown species;Cluster_104
Prevotellaceae UCG-001;unknown species;Cluster_10401
[Eubacterium] xylanophilum group;unknown species;Cluster_104023
Megasphaera;unknown species;Cluster_10406
Delftia;Multi-affiliation;Cluster_10415
Acinetobacter;Multi-affiliation;Cluster_104150
Multi-affiliation;Multi-affiliation;Cluster_10416
Dysgonomonas;Dysgonomonas sp.;Cluster_10419
Enterobacter;unknown species;Cluster_10421
Pseudoxanthomonas;Pseudoxanthomonas yeongjuensis;Cluster_10422
Lentimicrobium;unknown species;Cluster_10430
Anaerocolumna;unknown species;Cluster_10439
unknown genus;gut metagenome;Cluster_10446
unknown genus;unknown species;Cluster_10451
Tahibacter;Multi-affiliation;Cluster_10454
Desulforhabdus;unidentified sulfate-reducing bacterium;Cluster_10456
unknown genus;unknown species;Cluster_10462
unknown genus;unknown species;Cluster_10463
Holdemanella;Multi-affiliation;Cluster_10464
unknown genus;unknown species;Cluster_104641
Dongia;Multi-affiliation;Cluster_1047
Candidatus Accumulibacter;Multi-affiliation;Cluster_1049
Phreatobacter;unknown species;Cluster_10490
Oxalobacter;unknown species;Cluster_10493
Acetobacteroides;unknown species;Cluster_10495
Phaselicystis;unknown species;Cluster_10497
Pleomorphomonas;unknown species;Cluster_10510
unknown genus;unknown species;Cluster_10515
unknown genus;unknown species;Cluster_10519
Defluviicoccus;unknown species;Cluster_1052
Multi-affiliation;Multi-affiliation;Cluster_105230
Treponema;unknown species;Cluster_10528
Multi-affiliation;Multi-affiliation;Cluster_1053
unknown genus;metagenome;Cluster_10531
Hymenobacter;metagenome;Cluster_10536
Aeromonas;Multi-affiliation;Cluster_10539
Roseomonas;Multi-affiliation;Cluster_1054
unknown genus;metagenome;Cluster_10542
unknown genus;unknown species;Cluster_10547
Plasticicumulans;unknown species;Cluster_1055
oc32;unknown species;Cluster_10553
Aeromonas;unknown species;Cluster_10554
Multi-affiliation;Multi-affiliation;Cluster_1056
Aeromonas;Multi-affiliation;Cluster_105648
Pleomorphomonas;unknown species;Cluster_10572
Chitinimonas;Chitinimonas viridis;Cluster_1058
Multi-affiliation;Multi-affiliation;Cluster_10586
Methylocaldum;unknown species;Cluster_1059
Aeromonas;Multi-affiliation;Cluster_10594
Peptococcus;unknown species;Cluster_10600
unknown genus;unknown species;Cluster_10601
Bdellovibrio;Bdellovibrio sp.;Cluster_10606
unknown genus;unknown species;Cluster_10610
unknown genus;unknown species;Cluster_10622
CL500-29 marine group;metagenome;Cluster_10625
Desulfovibrio;unknown species;Cluster_10633
Desulfovibrio;unknown species;Cluster_106352
Acetoanaerobium;Multi-affiliation;Cluster_1064
Rubellimicrobium;unknown species;Cluster_106423
Nitrosomonas;Nitrosomonas sp.;Cluster_10654
Ancalomicrobium;Multi-affiliation;Cluster_1066
Multi-affiliation;Multi-affiliation;Cluster_10661
Bacteriovorax;unknown species;Cluster_10673
Bdellovibrio;unknown species;Cluster_10676
Haliangium;unknown species;Cluster_10678
Paludibacterium;Multi-affiliation;Cluster_10679
Nannocystis;metagenome;Cluster_10681
UBA1819;Multi-affiliation;Cluster_1069
Pantoea;Multi-affiliation;Cluster_106900
Citrobacter;Multi-affiliation;Cluster_106938
unknown genus;unknown species;Cluster_10694
Enterococcus;Multi-affiliation;Cluster_106999
Flavobacterium;Multi-affiliation;Cluster_107
Undibacterium;Undibacterium aquatile;Cluster_1070
unknown genus;unknown species;Cluster_10724
Paludibacter;Paratrimastix pyriformis;Cluster_10731
Ferruginibacter;Ferruginibacter sp.;Cluster_10735
OLB12;unknown species;Cluster_10737
Aeromonas;unknown species;Cluster_1074
Fusibacter;unknown species;Cluster_10741
Bacteroides;Mogibacterium sp.;Cluster_10743
Acinetobacter;Acinetobacter xiamenensis;Cluster_1075
Azospira;unknown species;Cluster_10751
Rheinheimera;unknown species;Cluster_10755
Collinsella;Collinsella tanakaei;Cluster_10757
Multi-affiliation;Multi-affiliation;Cluster_10758
Pandoraea;Multi-affiliation;Cluster_1076
unknown genus;unknown species;Cluster_10763
WCHB1-32;unknown species;Cluster_10768
Butyricimonas;Butyricimonas sp.;Cluster_10772
Aeromonas;Pseudaeromonas pectinilytica;Cluster_10775
Blvii28 wastewater-sludge group;unknown species;Cluster_1078
unknown genus;unknown species;Cluster_10780
Treponema;Multi-affiliation;Cluster_10781
Multi-affiliation;Multi-affiliation;Cluster_1081
Alysiella;metagenome;Cluster_10811
unknown genus;unknown species;Cluster_10815
Luteimonas;Lysobacter pocheonensis;Cluster_10816
Pajaroellobacter;unknown species;Cluster_10829
Monoglobus;unknown species;Cluster_1083
Pseudomonas;Multi-affiliation;Cluster_10838
Fusobacterium;Multi-affiliation;Cluster_10846
unknown genus;unknown species;Cluster_10849
unknown genus;unknown species;Cluster_108547
CAG-56;unknown species;Cluster_1086
Aeromonas;Aeromonas finlandensis;Cluster_10867
Aeromonas;Multi-affiliation;Cluster_10868
Clostridioides;Multi-affiliation;Cluster_10872
BSV13;unknown species;Cluster_10884
Desulfovibrio;unknown species;Cluster_10893
Desulforegula;unknown species;Cluster_10896
Aeromonas;unknown species;Cluster_109
Propionicimonas;Propionicimonas paludicola;Cluster_10904
unknown genus;unknown species;Cluster_109147
Chitinivorax;metagenome;Cluster_10915
Acinetobacter;Multi-affiliation;Cluster_10916
unknown genus;metagenome;Cluster_1092
Emticicia;Emticicia sediminis;Cluster_10934
Kluyvera;Kluyvera sp.;Cluster_10936
Pleomorphomonas;unknown species;Cluster_109385
Multi-affiliation;Multi-affiliation;Cluster_10948
Anaerotruncus;Anaerotruncus sp.;Cluster_10950
Morganella;Morganella sp.;Cluster_10954
unknown genus;unknown species;Cluster_10955
Desulfobulbus;unknown species;Cluster_10958
Multi-affiliation;Multi-affiliation;Cluster_10966
Cellvibrio;unknown species;Cluster_10967
Paucibacter;Paucibacter sp.;Cluster_1097
Variibacter;unknown species;Cluster_10972
SM1A02;metagenome;Cluster_10977
Bacteroides;Bacteroidaceae bacterium MS4;Cluster_10978
Gemmatimonas;Multi-affiliation;Cluster_1098
Candidatus Accumulibacter;beta proteobacterium pACH94;Cluster_10984
Anaerostipes;Multi-affiliation;Cluster_10986
unknown genus;unknown species;Cluster_10990
Phenylobacterium;Phenylobacterium sp.;Cluster_10993
Flavobacterium;Multi-affiliation;Cluster_10995
Pseudochrobactrum;Multi-affiliation;Cluster_11
Providencia;Providencia stuartii;Cluster_110
Acinetobacter;Acinetobacter xiamenensis;Cluster_11003
Paludibacterium;Neisseriaceae bacterium BFE30I;Cluster_11007
Bacteriovorax;unknown species;Cluster_11009
unknown genus;metagenome;Cluster_11013
Desulfovibrio;unknown species;Cluster_11020
RBG-16-49-21;metagenome;Cluster_11028
unknown genus;unknown species;Cluster_11031
unknown genus;unknown species;Cluster_11035
unknown genus;unknown species;Cluster_11039
Paludibacter;unknown species;Cluster_11046
Bacteriovorax;Bacteriovorax stolpii;Cluster_11048
Acetobacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich5;Cluster_11051
Sphingomonas;Sphingomonas changbaiensis;Cluster_11060
Perlucidibaca;unknown species;Cluster_110622
Libanicoccus;unknown species;Cluster_11064
Diaphorobacter;unknown species;Cluster_11065
unknown genus;unknown species;Cluster_11066
Acinetobacter;Acinetobacter sp.;Cluster_110696
Lampropedia;Lampropedia sp.;Cluster_11073
Multi-affiliation;Multi-affiliation;Cluster_11079
Acinetobacter;Acinetobacter equi;Cluster_11086
Legionella;unknown species;Cluster_110878
Propionicimonas;metagenome;Cluster_11088
Odoribacter;Multi-affiliation;Cluster_1109
Enterobacter;Multi-affiliation;Cluster_11091
Hassallia;Hassallia byssoidea VB512170;Cluster_11099
Gracilibacteria bacterium;unknown species;Cluster_111
Leptonema;Leptonema illini;Cluster_11112
Flavobacterium;unknown species;Cluster_11117
unknown genus;unknown species;Cluster_1112
unknown genus;metagenome;Cluster_11124
Aeromonas;Pseudaeromonas sharmana;Cluster_11127
Sandaracinus;metagenome;Cluster_1113
unknown genus;unknown species;Cluster_11133
unknown genus;unknown species;Cluster_11134
Dechlorobacter;unknown species;Cluster_1114
Sulfurospirillum;unknown species;Cluster_11140
unknown genus;unknown species;Cluster_11142
Multi-affiliation;Multi-affiliation;Cluster_11148
Aerococcus;Multi-affiliation;Cluster_11150
unknown genus;unknown species;Cluster_11157
Multi-affiliation;Multi-affiliation;Cluster_1116
Desulfovibrio;unknown species;Cluster_11163
Acetanaerobacterium;unknown species;Cluster_11164
Desulfovibrio;unknown species;Cluster_1117
Flavobacterium;Flavobacterium hydatis;Cluster_11172
Undibacterium;Multi-affiliation;Cluster_1118
Elizabethkingia;Multi-affiliation;Cluster_11183
Falsochrobactrum;Multi-affiliation;Cluster_1119
Acidovorax;Acidovorax caeni;Cluster_112
UCG-008;unknown species;Cluster_11204
unknown genus;unknown species;Cluster_11209
GOUTA6;metagenome;Cluster_11215
Butyricimonas;Butyricimonas sp.;Cluster_11216
Lysinimonas;metagenome;Cluster_11230
Syntrophus;Multi-affiliation;Cluster_11236
Neochlamydia;unknown species;Cluster_11246
Aeromonas;unknown species;Cluster_11249
Acidovorax;unknown species;Cluster_11253
unknown genus;unknown species;Cluster_112580
Aeromonas;unknown species;Cluster_11267
unknown genus;metagenome;Cluster_1127
Multi-affiliation;Multi-affiliation;Cluster_11270
unknown genus;unknown species;Cluster_11278
Sphingopyxis;Sphingopyxis witflariensis;Cluster_11280
unknown genus;metagenome;Cluster_112806
Pedobacter;Multi-affiliation;Cluster_1129
Methylotenera;Methylotenera mobilis 13;Cluster_11315
Arcobacter;Multi-affiliation;Cluster_113160
Acinetobacter;Acinetobacter xiamenensis;Cluster_1132
Aeromonas;Pseudaeromonas sharmana;Cluster_11325
Halomonas;Multi-affiliation;Cluster_11331
Desulfovibrio;Multi-affiliation;Cluster_11332
Arcobacter;Multi-affiliation;Cluster_113348
Fenollaria;Multi-affiliation;Cluster_11350
Lacticaseibacillus;Multi-affiliation;Cluster_11353
Acetoanaerobium;unknown species;Cluster_11356
OM27 clade;unknown species;Cluster_1136
unknown genus;unknown species;Cluster_11369
Acinetobacter;Multi-affiliation;Cluster_11371
unknown genus;unknown species;Cluster_11379
unknown genus;unknown species;Cluster_11382
Arcobacter;Multi-affiliation;Cluster_113868
Aquabacterium;metagenome;Cluster_11389
RBG-16-49-21;unknown species;Cluster_1139
Acinetobacter;Multi-affiliation;Cluster_113927
Acidovorax;simazine-degrading bacterium a3;Cluster_11394
Aeromonas;Aeromonas finlandensis;Cluster_114
Dokdonella;metagenome;Cluster_1140
Providencia;Multi-affiliation;Cluster_114036
Clostridium sensu stricto 1;Clostridium vincentii;Cluster_11414
Pleomorphomonas;Multi-affiliation;Cluster_114222
unknown genus;unknown species;Cluster_11425
Dongia;metagenome;Cluster_1143
unknown genus;unknown species;Cluster_11435
Chryseobacterium;Multi-affiliation;Cluster_11437
Multi-affiliation;Multi-affiliation;Cluster_1144
Multi-affiliation;Multi-affiliation;Cluster_11440
Hassallia;unknown species;Cluster_11441
Pelomonas;unknown species;Cluster_1145
Frisingicoccus;unknown species;Cluster_114520
unknown genus;unknown species;Cluster_11455
Acetobacteroides;unknown species;Cluster_1146
Clostridium sensu stricto 2;Multi-affiliation;Cluster_1147
Multi-affiliation;Multi-affiliation;Cluster_11478
unknown genus;unknown species;Cluster_11489
Desulfovibrio;Multi-affiliation;Cluster_1149
unknown genus;metagenome;Cluster_11502
Paludibacter;unknown species;Cluster_1151
Bdellovibrio;unknown species;Cluster_11510
unknown genus;unknown species;Cluster_11512
unknown genus;Multi-affiliation;Cluster_11520
Bacteroides;Bacteroides sp.;Cluster_115233
unknown genus;unknown species;Cluster_11525
Flavobacterium;Multi-affiliation;Cluster_11527
Multi-affiliation;Multi-affiliation;Cluster_11529
Diaphorobacter;Multi-affiliation;Cluster_1153
Legionella;Multi-affiliation;Cluster_11536
unknown genus;unknown species;Cluster_115438
Multi-affiliation;Multi-affiliation;Cluster_11545
Multi-affiliation;Multi-affiliation;Cluster_11552
Aeromonas;unknown species;Cluster_11553
Flavobacterium;Flavobacterium sp.;Cluster_1156
Legionella;Legionella waltersii;Cluster_11568
Desulfovibrio;Multi-affiliation;Cluster_11569
Quadrisphaera;unknown species;Cluster_11576
Multi-affiliation;Multi-affiliation;Cluster_1158
Pseudomonas;Pseudomonas sp.;Cluster_1159
Defluviimonas;unknown species;Cluster_11590
Comamonas;unknown species;Cluster_11601
unknown genus;unknown species;Cluster_11604
Laribacter;Laribacter hongkongensis;Cluster_11608
Aquimonas;unknown species;Cluster_1161
Multi-affiliation;Multi-affiliation;Cluster_1163
Providencia;Providencia sp.;Cluster_11634
unknown genus;metagenome;Cluster_11636
unknown genus;unknown species;Cluster_11638
unknown genus;unknown species;Cluster_1164
Ahniella;unknown species;Cluster_11640
Aeromonas;Multi-affiliation;Cluster_11647
Comamonas;Multi-affiliation;Cluster_11655
Rhodobacter;Reticulomyxa filosa;Cluster_1166
Pseudoalteromonas;Multi-affiliation;Cluster_11664
Arcanobacterium;unknown species;Cluster_11676
Multi-affiliation;Multi-affiliation;Cluster_1168
Catenibacterium;unknown species;Cluster_11683
unknown genus;unknown species;Cluster_11687
Family XIII AD3011 group;unknown species;Cluster_11691
Multi-affiliation;Multi-affiliation;Cluster_117
Multi-affiliation;Multi-affiliation;Cluster_11711
Pseudomonas;unknown species;Cluster_11712
Parabacteroides;unknown species;Cluster_11718
unknown genus;unknown species;Cluster_117273
Bernardetia;Bernardetia litoralis;Cluster_11733
Diaphorobacter;Diaphorobacter sp.;Cluster_11737
Rhodoferax;unknown species;Cluster_117442
Arenimonas;Arenimonas oryziterrae DSM 21050 = YC6267;Cluster_11758
Clostridium sensu stricto 5;Clostridium algidicarnis;Cluster_1177
Collinsella;Collinsella sp.;Cluster_11775
Multi-affiliation;Multi-affiliation;Cluster_11779
Leminorella;Leminorella grimontii;Cluster_1178
Multi-affiliation;Multi-affiliation;Cluster_11784
Moheibacter;unknown species;Cluster_11785
unknown genus;unknown species;Cluster_11786
Tolumonas;Aeromonadaceae bacterium 130I2;Cluster_11788
unknown genus;unknown species;Cluster_117925
Vogesella;unknown species;Cluster_11793
Herbinix;unidentified eubacterium clone BSV51;Cluster_11796
Fonticella;unknown species;Cluster_11799
Leucobacter;Multi-affiliation;Cluster_118
Sulfurimonas;unknown species;Cluster_11802
Myroides;Multi-affiliation;Cluster_11810
Aeromonas;unknown species;Cluster_11811
Kluyvera;Kluyvera sp.;Cluster_11828
Comamonas;Multi-affiliation;Cluster_11831
Pseudomonas;Multi-affiliation;Cluster_11838
Propionivibrio;unknown species;Cluster_11843
Gordonia;Gordonia sinesedis;Cluster_11846
Aeromonas;Multi-affiliation;Cluster_11849
Pseudomonas;Multi-affiliation;Cluster_11852
Rhodoferax;Albidiferax sp.;Cluster_11855
Cetobacterium;unknown species;Cluster_1186
Family XIII AD3011 group;unknown species;Cluster_11862
Oligoflexus;unknown species;Cluster_11870
Lachnoclostridium;Multi-affiliation;Cluster_11879
Chryseobacterium;metagenome;Cluster_11882
Morganella;Morganella sp.;Cluster_11895
Enterorhabdus;unknown species;Cluster_11905
Lysobacter;Lysobacter ginsengisoli;Cluster_1191
Bacteroides;unknown species;Cluster_11910
NK4A214 group;unknown species;Cluster_11911
Bacteroides;unknown species;Cluster_11920
Hydrogenophaga;Multi-affiliation;Cluster_11921
Acinetobacter;Multi-affiliation;Cluster_11923
Multi-affiliation;Multi-affiliation;Cluster_1193
OM27 clade;metagenome;Cluster_119359
NK4A214 group;unknown species;Cluster_11937
Aeromonas;Multi-affiliation;Cluster_11944
Aeromonas;Multi-affiliation;Cluster_11957
Acetobacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich5;Cluster_1196
Variovorax;Multi-affiliation;Cluster_11973
Morganella;Morganella morganii;Cluster_11982
Dysgonomonas;unknown species;Cluster_1199
Aeromonas;Multi-affiliation;Cluster_11992
Pleomorphomonas;Pleomorphomonas oryzae;Cluster_11996
Lucifera;unknown species;Cluster_120
Acinetobacter;unknown species;Cluster_12014
Treponema;unknown species;Cluster_12017
Comamonas;unknown species;Cluster_120207
Lactococcus;metagenome;Cluster_12034
Arenimonas;unknown species;Cluster_12043
Desulfovibrio;Multi-affiliation;Cluster_12049
unknown genus;unknown species;Cluster_12059
Flavobacterium;unknown species;Cluster_12069
Sanguibacteroides;Gabonibacter massiliensis;Cluster_12078
unknown genus;Dechloromonas hortensis;Cluster_120948
Thiobacillus;unknown species;Cluster_121
Acinetobacter;Acinetobacter bouvetii;Cluster_12103
Multi-affiliation;Multi-affiliation;Cluster_121036
Acinetobacter;Acinetobacter sp.;Cluster_12105
Aeromonas;Multi-affiliation;Cluster_12112
Multi-affiliation;Multi-affiliation;Cluster_12124
unknown genus;unknown species;Cluster_12125
Acetobacteroides;unknown species;Cluster_1213
unknown genus;unknown species;Cluster_12134
Pseudoxanthomonas;Xanthomonas sp.;Cluster_12140
Multi-affiliation;Multi-affiliation;Cluster_12143
Proteocatella;unknown species;Cluster_12161
Citrobacter;Multi-affiliation;Cluster_12168
Sphaerotilus;Sphaerotilus natans;Cluster_1217
Multi-affiliation;Multi-affiliation;Cluster_12171
unknown genus;unknown species;Cluster_12191
Multi-affiliation;Multi-affiliation;Cluster_122
Faecalibacterium;Multi-affiliation;Cluster_12217
Aquaspirillum;Aquaspirillum putridiconchylium;Cluster_12230
Listeria;Brochothrix sp.;Cluster_1224
unknown genus;metagenome;Cluster_12255
unknown genus;Christensenella sp.;Cluster_1226
unknown genus;unknown species;Cluster_1228
Multi-affiliation;Multi-affiliation;Cluster_12282
Flavobacterium;Flavobacterium sp.;Cluster_12286
unknown genus;metagenome;Cluster_1229
Fluviicola;unknown species;Cluster_12301
Prevotella;unknown species;Cluster_12304
Aeromonas;unknown species;Cluster_12311
Alkanindiges;unknown species;Cluster_1232
Desulfocapsa;unknown species;Cluster_1233
Pectobacterium;Multi-affiliation;Cluster_12331
Streptococcus;Multi-affiliation;Cluster_12340
Multi-affiliation;Multi-affiliation;Cluster_12341
Aeromicrobium;Aeromicrobium halocynthiae;Cluster_1235
Multi-affiliation;Multi-affiliation;Cluster_12352
Acinetobacter;unknown species;Cluster_12362
Multi-affiliation;Multi-affiliation;Cluster_12364
Dysgonomonas;unknown species;Cluster_12370
Christensenella;Christensenella sp.;Cluster_1238
Lachnoclostridium;Multi-affiliation;Cluster_12388
Leptothrix;Aquincola sp.;Cluster_1239
Acinetobacter;Multi-affiliation;Cluster_124
Multi-affiliation;Multi-affiliation;Cluster_12413
Peredibacter;unknown species;Cluster_12429
Pseudomonas;Multi-affiliation;Cluster_12430
Citrobacter;Multi-affiliation;Cluster_12435
Desulfovibrio;Multi-affiliation;Cluster_12461
unknown genus;unknown species;Cluster_12469
Comamonas;Multi-affiliation;Cluster_124693
Glutamicibacter;Multi-affiliation;Cluster_12472
Multi-affiliation;Multi-affiliation;Cluster_1248
Polymorphobacter;unknown species;Cluster_12480
Acetoanaerobium;unknown species;Cluster_12486
Pseudoxanthomonas;Multi-affiliation;Cluster_1249
Propionivibrio;unknown species;Cluster_12494
Listeria;Multi-affiliation;Cluster_125
Finegoldia;Multi-affiliation;Cluster_12506
Peredibacter;Bacteriovorax sp.;Cluster_125078
Aeromonas;Multi-affiliation;Cluster_12533
Multi-affiliation;Multi-affiliation;Cluster_125455
Peptoclostridium;Multi-affiliation;Cluster_12550
Diaphorobacter;Multi-affiliation;Cluster_12562
unknown genus;unknown species;Cluster_12565
Stenotrophomonas;Stenotrophomonas sp.;Cluster_125656
Multi-affiliation;Multi-affiliation;Cluster_125732
Desulfovibrio;Multi-affiliation;Cluster_1258
unknown genus;Chlorobi bacterium canine oral taxon 046;Cluster_12587
Aquitalea;Aquitalea denitrificans;Cluster_126
Desulfovibrio;Multi-affiliation;Cluster_12605
Multi-affiliation;Multi-affiliation;Cluster_12608
Tolumonas;Tolumonas osonensis;Cluster_1261
Lachnoclostridium;unknown species;Cluster_12618
Bacteroides;unknown species;Cluster_12620
Anaerobium;Multi-affiliation;Cluster_12629
Dysgonomonas;unknown species;Cluster_12632
Desulfovibrio;bacterium NLAE-zl-H43;Cluster_12633
Desulfovibrio;Multi-affiliation;Cluster_12634
Arcobacter;Multi-affiliation;Cluster_12645
Parapedobacter;Parapedobacter composti;Cluster_1265
Aeromonas;unknown species;Cluster_12653
Aeromonas;Pseudaeromonas pectinilytica;Cluster_12659
Dysgonomonas;unknown species;Cluster_12663
Comamonas;Comamonas sp.;Cluster_12667
unknown genus;unknown species;Cluster_1267
Multi-affiliation;Multi-affiliation;Cluster_12679
Desulfovibrio;Multi-affiliation;Cluster_12685
Lactococcus;Multi-affiliation;Cluster_12696
Pseudomonas;Multi-affiliation;Cluster_1270
unknown genus;unknown species;Cluster_12711
Multi-affiliation;Multi-affiliation;Cluster_1272
Multi-affiliation;Multi-affiliation;Cluster_12722
Dysgonomonas;unknown species;Cluster_1273
Shewanella;Shewanella baltica OS155;Cluster_12735
Telmatospirillum;unknown species;Cluster_12736
Acinetobacter;Acinetobacter sp.;Cluster_12739
Oscillibacter;metagenome;Cluster_1274
Multi-affiliation;Multi-affiliation;Cluster_1276
Raoultella;Multi-affiliation;Cluster_12768
Desulfovibrio;bacterium NLAE-zl-H43;Cluster_12778
unknown genus;unknown species;Cluster_12786
Delftia;Multi-affiliation;Cluster_128
unknown genus;unknown species;Cluster_12806
Anaerovorax;unknown species;Cluster_12815
Formivibrio;unknown species;Cluster_12816
Pseudomonas;Multi-affiliation;Cluster_12826
Rhodoferax;Multi-affiliation;Cluster_12827
Comamonas;bacterium 28W222;Cluster_12832
Bacteroides;unknown species;Cluster_12836
Aeromonas;Multi-affiliation;Cluster_12845
Dysgonomonas;unknown species;Cluster_1285
Lachnospiraceae FCS020 group;unknown species;Cluster_1286
Propionivibrio;unknown species;Cluster_1287
unknown genus;unknown species;Cluster_12877
Desulfovibrio;Multi-affiliation;Cluster_12887
Lachnospiraceae FCS020 group;Multi-affiliation;Cluster_12888
Saccharofermentans;unknown species;Cluster_12889
unknown genus;unknown species;Cluster_12891
Comamonas;bacterium 28W222;Cluster_12892
UCG-009;unknown species;Cluster_12898
Pseudochelatococcus;Pseudochelatococcus contaminans;Cluster_129
Aquaspirillum;Multi-affiliation;Cluster_1290
unknown genus;unknown species;Cluster_12908
Erysipelotrichaceae UCG-003;Multi-affiliation;Cluster_12910
Arcobacter;Multi-affiliation;Cluster_12913
Vagococcus;Vagococcus fluvialis;Cluster_12941
Trichococcus;Multi-affiliation;Cluster_12943
Faecalibacterium;Multi-affiliation;Cluster_12945
Lachnoclostridium;Multi-affiliation;Cluster_12946
unknown genus;unknown species;Cluster_1295
Faecalibacterium;unknown species;Cluster_12950
unknown genus;unknown species;Cluster_12965
Bacteriovorax;Bacteriovorax sp.;Cluster_12973
Dysgonomonas;unknown species;Cluster_12995
Acetobacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich5;Cluster_13
Acetoanaerobium;Multi-affiliation;Cluster_130
Dysgonomonas;unknown species;Cluster_13007
Aeromonas;Pseudaeromonas sharmana;Cluster_1302
Fluviicola;unknown species;Cluster_13022
UBA1819;unknown species;Cluster_13035
Aeromonas;Pseudomonas putida;Cluster_1304
Acinetobacter;Acinetobacter sp.;Cluster_13045
Proteocatella;unknown species;Cluster_13048
Phascolarctobacterium;Multi-affiliation;Cluster_1305
Formivibrio;Formivibrio citricus;Cluster_13054
Ensifer;Multi-affiliation;Cluster_1306
unknown genus;unknown species;Cluster_1307
Arcobacter;Multi-affiliation;Cluster_13077
Bacteriovorax;unknown species;Cluster_1308
Legionella;unknown species;Cluster_1310
