#comment		blast_taxonomy	seed_id	"taxonomy
Domain"	Phylum	Class	Order	Family	Genus	Species	observation_name	observation_sum	DBIbiofilm100_GTCGGC-K37J4_L001	DBIbiofilm101_TGTAAA-K37J4_L001	DBIbiofilm102_CAGCGT-K37J4_L001	DBIbiofilm103_GGATCA-K37J4_L001	DBIbiofilm104_CCCCAT-K37J4_L001	DBIbiofilm105_CCTCCC-K37J4_L001	DBIbiofilm109_CCTGCT-K37J4_L001	DBIbiofilm110_TTACTC-K37J4_L001	DBIbiofilm111_ATTAGG-K37J4_L001	DBIbiofilm112_GCCTAA-K37J4_L001	DBIbiofilm113_AAAGCG-K37J4_L001	DBIbiofilm114_TTGCTA-K37J4_L001	DBIbiofilm115_TCTTCT-K37J4_L001	DBIbiofilm116_CTACTA-K37J4_L001	DBIbiofilm119_TGCGCT-K37J4_L001	DBIbiofilm120_ACGATC-K37J4_L001	DBIbiofilm121_CGCTCT-K37J4_L001	DBIbiofilm122_GATAGA-K37J4_L001	DBIbiofilm98_CCGTCA-K37J4_L001	DBIbiofilm99_CATCCT-K37J4_L001	VD-DBIbiofilm-ech34_TCCATT-JNFP8_L001	VD-DBIbiofilm-ech54_ACCTCA-JNFP8_L001	VD-DBIbiofilm-ech55_CCCGAG-JNFP8_L001	VD-DBIbiofilm-ech55bis_GGACGG-JNFP8_L001	VD-DBIbiofilm-ech56_GGTATA-JNFP8_L001	VD-DBIbiofilm-ech57_GTGCTG-JNFP8_L001	VD-DBIbiofilm-ech58_CCCTCC-JNFP8_L001	VD-DBIbiofilm-ech60_GAGAAC-JNFP8_L001	VD-DBIbiofilm-ech61_TGGTGT-JNFP8_L001	VD-DBIbiofilm-ech62_AAACAA-JNFP8_L001	VD-DBIbiofilm-ech63_AGGGAT-JNFP8_L001	VD-DBIbiofilm-ech68_GCAATA-JNFP8_L001	VD-DBIbiofilm-ech69_CAATTA-JNFP8_L001	VD-DBIbiofilm-ech70_CAATGC-JNFP8_L001	VD-DBIbiofilm-ech71_TGTTCG-JNFP8_L001	VD-DBIbiofilm-ech72_CCAACA-JNFP8_L001	VD-DBIbiofilm-ech73_CTACCG-JNFP8_L001	VD-DBIbiofilm-ech74_TCGTTC-JNFP8_L001	VD-DBIbiofilm-ech75_GCGATG-JNFP8_L001	VD-DBIbiofilm-ech76_ATATAA-JNFP8_L001	VD-DBIbiofilm-ech77_ATACTG-JNFP8_L001	VD-DBIbiofilm-ech78_GGAGAG-JNFP8_L001	VD-DBIbiofilm-ech79_ACGAGA-JNFP8_L001	VD-DBIbiofilm-ech80_ATTACA-JNFP8_L001	VD-DBIbiofilm-ech81_TGATTT-JNFP8_L001	VD-DBIbiofilm-ech82_GGGGTG-JNFP8_L001	VD-DBIbiofilm-ech83_ACAAAA-JNFP8_L001	VD-DBIbiofilm-ech84_CTCCAG-JNFP8_L001	VD-DBIbiofilm-ech85_GGTGTT-JNFP8_L001	VD-DBIbiofilm-ech86_CGGGAG-JNFP8_L001	VD-DBIbiofilm-ech87_TGGTAG-JNFP8_L001	VD-DBIbiofilm-ech90_AACCGA-JNFP8_L001	VD-DBIbiofilm-ech91_GGCAAT-JNFP8_L001	VD-DBIbiofilm-ech92_CCTTGA-JNFP8_L001	VD-DBIbiofilm-ech93_GTTTCT-JNFP8_L001	VD-DBIbiofilm-ech94_ACACGC-JNFP8_L001	VD-DBIbiofilm-ech95_GTGGGG-JNFP8_L001	VD-DBIbiofilm-ech96_CACCCA-JNFP8_L001
AB BFenvt/BF		"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Pleomorphomonadaceae;Pleomorphomonas;unknown species"	M01764:248:000000000-JNFP8:1:1114:27832:15108	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Pleomorphomonadaceae	Pleomorphomonas	unknown species	Cluster_10079	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB BFenvt/WW		"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Roseimarinus;unknown species"	M01945:370:000000000-K37J4:1:2106:18560:2968	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Roseimarinus	unknown species	Cluster_1008	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	0	0	0	15	32	9	9	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB BF/WW		"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Libanicoccus;unknown species"	M01764:248:000000000-JNFP8:1:1114:28846:11988	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Libanicoccus	unknown species	Cluster_10082	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;unknown species"	M01764:248:000000000-JNFP8:1:1114:3533:18560	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	unknown species	Cluster_10083	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
noir=negatif		"Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species"	M01764:248:000000000-JNFP8:1:1114:4321:9772	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	unknown species	Cluster_10085	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rouge=positif		"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp."	M01764:248:000000000-JNFP8:1:1114:5310:10063	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp.	Cluster_10086	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Aeromonas;unknown species"	M01764:248:000000000-JNFP8:1:1114:6907:10111	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	unknown species	Cluster_10096	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
		"Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;unknown genus;unknown species"	M01764:248:000000000-JNFP8:1:1115:10137:15101	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	unknown genus	unknown species	Cluster_10122	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;unknown species"	M01764:248:000000000-JNFP8:1:1115:11984:24535	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	unknown species	Cluster_10133	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;RBG-16-49-21;Multi-affiliation"	M01764:248:000000000-JNFP8:1:1103:26661:17510	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	RBG-16-49-21	Multi-affiliation	Cluster_1014	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;Syntrophomonas;unknown species"	M01764:248:000000000-JNFP8:1:1115:14300:14126	Bacteria	Firmicutes	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	Syntrophomonas	unknown species	Cluster_10141	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;unknown family;unknown genus;unknown species"	M01764:248:000000000-JNFP8:1:2108:7525:22347	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	unknown family	unknown genus	unknown species	Cluster_101470	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;RBG-16-49-21;Multi-affiliation"	M01764:248:000000000-JNFP8:1:1104:19193:9624	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	RBG-16-49-21	Multi-affiliation	Cluster_1015	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Aquicella;unknown species"	M01764:248:000000000-JNFP8:1:1115:18118:8003	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	unknown species	Cluster_10154	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;unknown genus;unknown species"	M01764:248:000000000-JNFP8:1:1105:26337:14564	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	unknown genus	unknown species	Cluster_1016	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;SAR324 clade(Marine group B);unknown class;unknown order;unknown family;unknown genus;unknown species"	M01764:248:000000000-JNFP8:1:1115:19435:22528	Bacteria	SAR324 clade(Marine group B)	unknown class	unknown order	unknown family	unknown genus	unknown species	Cluster_10161	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Crocinitomix;unknown species"	M01764:248:000000000-JNFP8:1:1115:19573:8062	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	unknown species	Cluster_10163	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Aeromonas;Multi-affiliation"	M01764:248:000000000-JNFP8:1:1115:22339:11750	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Multi-affiliation	Cluster_10177	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostignum;Clostridiaceae bacterium BEN9"	M01945:370:000000000-K37J4:1:1102:18011:1581	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostignum	Clostridiaceae bacterium BEN9	Cluster_1018	57	38	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unknown family;unknown genus;metagenome"	M01764:248:000000000-JNFP8:1:1115:23817:3680	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unknown family	unknown genus	metagenome	Cluster_10186	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Aeromonas;Multi-affiliation"	M01764:248:000000000-JNFP8:1:2108:9349:2673	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Multi-affiliation	Cluster_101870	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
		"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Nubsella;unknown species"	M01764:248:000000000-JNFP8:1:1115:24078:10296	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Nubsella	unknown species	Cluster_10189	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas;unknown species"	M01945:370:000000000-K37J4:1:1102:25329:12284	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	unknown species	Cluster_1019	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3	0	0	0	4	76	27	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Pseudoflavitalea;Flavitalea soli"	M01764:248:000000000-JNFP8:1:1115:25450:16465	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Pseudoflavitalea	Flavitalea soli	Cluster_10198	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 2;Clostridium frigidicarnis"	M01945:370:000000000-K37J4:1:1103:12539:7631	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 2	Clostridium frigidicarnis	Cluster_1020	56	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	5	0	0	0	28	1	0	0	1
		"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Cellvibrionaceae;Cellvibrio;Cellvibrio fontiphilus"	M01764:248:000000000-JNFP8:1:2109:10065:8592	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	Cellvibrio fontiphilus	Cluster_102010	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola"	M01764:248:000000000-JNFP8:1:2109:10619:6236	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella viscericola	Cluster_102100	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Mogibacterium;unknown species"	M01764:248:000000000-JNFP8:1:1115:5589:8148	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium	unknown species	Cluster_10211	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
